period,actual_spend,growth_pct,formula
2024-01,13.3,N/A,No prior period (2023-12) in dataset
2024-02,12.2,-8.3%,(12.2 - 13.3) / 13.3 = -8.3%
2024-03,12.3,+0.8%,(12.3 - 12.2) / 12.2 = +0.8%
2024-04,13.4,+8.9%,(13.4 - 12.3) / 12.3 = +8.9%
2024-05,14.1,+5.2%,(14.1 - 13.4) / 13.4 = +5.2%
2024-06,14.8,+5.0%,(14.8 - 14.1) / 14.1 = +5.0%
2024-07,19.7,+33.1%,(19.7 - 14.8) / 14.8 = +33.1%
2024-08,20.2,+2.5%,(20.2 - 19.7) / 19.7 = +2.5%
2024-09,20.1,-0.5%,(20.1 - 20.2) / 20.2 = -0.5%
2024-10,13.1,-34.8%,(13.1 - 20.1) / 20.1 = -34.8%
2024-11,14.2,+8.4%,(14.2 - 13.1) / 13.1 = +8.4%
2024-12,12.7,-10.6%,(12.7 - 14.2) / 14.2 = -10.6%
